"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"453","RT @britishmuseum: If you’d rather not follow the #MuseumOfTheFuture tweets tonight, you can always mute us and come back later! http://t.c…",FALSE,0,NA,2014-10-16 20:16:16,FALSE,NA,"522843488459964416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","followamuseum",15,TRUE,FALSE,NA,NA
"454","RT @britishmuseum: Sign up and get involved in building the Museum in #Minecraft #Museumcraft #MuseumOfTheFuture http://t.co/PUssMEsRmk htt…",FALSE,0,NA,2014-10-16 20:16:00,FALSE,NA,"522843420919074816",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","Beitparra",37,TRUE,FALSE,NA,NA
"455","RT @MajaMaricevic: My favourite idea so far linking objects across museums, their original locations and info (also academic research!)  #M…",FALSE,0,NA,2014-10-16 20:15:48,FALSE,NA,"522843371904438272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mpi_kultur",15,TRUE,FALSE,NA,NA
"456","RT @britishmuseum: We've just announced that the British Museum has arrived in Minecraft! #MuseumOfTheFuture https://t.co/yjDRt5s4Ny http:/…",FALSE,0,NA,2014-10-16 20:15:37,FALSE,NA,"522843326605967361",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","sraikes",137,TRUE,FALSE,NA,NA
"457","RT @alexpeterss: @smannion I'd like to see the public select items in storage/not accessible normally &amp; create an exb of the unseen #Museum…",FALSE,0,NA,2014-10-16 20:15:10,FALSE,NA,"522843211552006144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Live4Learning",3,TRUE,FALSE,NA,NA
"458","http://t.co/lEPyvIRhuy #MuseumOfTheFuture #popaintings",FALSE,0,NA,2014-10-16 20:15:06,FALSE,NA,"522843196930269185",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","popaintings",0,FALSE,FALSE,NA,NA
"459","RT @britishmuseum: P.S. If you're at the #MuseumOfTheFuture drinks come to the winged bulls to have your say about the debate! http://t.co/…",FALSE,0,NA,2014-10-16 20:14:06,FALSE,NA,"522842945897365504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","filmverband",21,TRUE,FALSE,NA,NA
"460","RT @britishmuseum: Sonita Alleyne: technology is there to enhance the visitors' experience but shouldn't disrupt it #MuseumOfTheFuture",FALSE,0,NA,2014-10-16 20:13:44,FALSE,NA,"522842851122499584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","walkerabroad",5,TRUE,FALSE,NA,NA
"461","Collision of old and new at British Museum. Robot + Egyptian Statue. Vision of the future? #MuseumOfTheFuture http://t.co/J9Ybri2QG2",FALSE,1,NA,2014-10-16 20:13:26,FALSE,NA,"522842776359030785",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","edtparkes",1,FALSE,FALSE,NA,NA
"462","RT @britishmuseum: Thanks for following #MuseumOfTheFuture tonight. We'll share more about the debate tomorrow http://t.co/lObXjzpyS9",FALSE,0,NA,2014-10-16 20:12:31,FALSE,NA,"522842545051955201",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SylviePastre",9,TRUE,FALSE,NA,NA
"463","Some really interesting tweets from #MuseumOfTheFuture - lots of things also relevant to #libraries",FALSE,2,NA,2014-10-16 20:12:23,FALSE,NA,"522842511124217856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LauraVNG",0,FALSE,FALSE,NA,NA
"464","RT @MajaMaricevic: My favourite idea so far linking objects across museums, their original locations and info (also academic research!)  #M…",FALSE,0,NA,2014-10-16 20:11:36,FALSE,NA,"522842314025095168",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","walkerabroad",15,TRUE,FALSE,NA,NA
"465","RT @britishmuseum: Book for the next #MuseumOfTheFuture debate on 18 Nov, on the new Knowledge Quarter in Camden http://t.co/z9AfDye61x htt…",FALSE,0,NA,2014-10-16 20:11:31,FALSE,NA,"522842292701261825",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SylviePastre",44,TRUE,FALSE,NA,NA
